:START_ID,:END_ID,:TYPE,properties
selection0001,modifier0001,Uses Modifier,
selection0002,modifier0002,Uses Modifier,
selection0003,modifier0003,Uses Modifier,
selection0004,modifier0004,Uses Modifier,
selection0005,modifier0005,Uses Modifier,
selection0014,modifier0006,Uses Modifier,
selection0015,modifier0007,Uses Modifier,
selection0016,modifier0008,Uses Modifier,
selection0017,modifier0009,Uses Modifier,
selection0018,modifier0010,Uses Modifier,
selection0019,modifier0011,Uses Modifier,
selection0020,modifier0012,Uses Modifier,
selection0021,modifier0013,Uses Modifier,
selection0022,modifier0014,Uses Modifier,
selection0023,modifier0015,Uses Modifier,
selection0024,modifier0016,Uses Modifier,
selection0025,modifier0017,Uses Modifier,
selection0026,modifier0018,Uses Modifier,
selection0027,modifier0019,Uses Modifier,
selection0028,modifier0020,Uses Modifier,
selection0046,modifier0021,Uses Modifier,
selection0047,modifier0022,Uses Modifier,
selection0048,modifier0023,Uses Modifier,
selection0049,modifier0024,Uses Modifier,
selection0050,modifier0025,Uses Modifier,
selection0051,modifier0026,Uses Modifier,
selection0052,modifier0027,Uses Modifier,
selection0053,modifier0028,Uses Modifier,
selection0054,modifier0029,Uses Modifier,
selection0055,modifier0030,Uses Modifier,
selection0056,modifier0031,Uses Modifier,
selection0057,modifier0032,Uses Modifier,
selection0058,modifier0033,Uses Modifier,
selection0059,modifier0034,Uses Modifier,
selection0060,modifier0035,Uses Modifier,
selection0061,modifier0036,Uses Modifier,
selection0062,modifier0037,Uses Modifier,
selection0063,modifier0038,Uses Modifier,
selection0064,modifier0039,Uses Modifier,
selection0065,modifier0040,Uses Modifier,
selection0066,modifier0041,Uses Modifier,
selection0067,modifier0042,Uses Modifier,
selection0068,modifier0043,Uses Modifier,
selection0069,modifier0044,Uses Modifier,
selection0070,modifier0045,Uses Modifier,
selection0071,modifier0046,Uses Modifier,
selection0072,modifier0047,Uses Modifier,
selection0091,modifier0048,Uses Modifier,
selection0091,modifier0049,Uses Modifier,
selection0092,modifier0050,Uses Modifier,
selection0093,modifier0051,Uses Modifier,
filter0006,modifier0052,Uses Modifier,
selection0094,modifier0053,Uses Modifier,
selection0094,modifier0054,Uses Modifier,
selection0094,modifier0055,Uses Modifier,
selection0094,modifier0056,Uses Modifier,
selection0095,modifier0057,Uses Modifier,
selection0096,modifier0058,Uses Modifier,
selection0096,modifier0059,Uses Modifier,
selection0096,modifier0060,Uses Modifier,
selection0097,modifier0061,Uses Modifier,
selection0097,modifier0062,Uses Modifier,
selection0097,modifier0063,Uses Modifier,
selection0097,modifier0064,Uses Modifier,
selection0097,modifier0065,Uses Modifier,
selection0098,modifier0066,Uses Modifier,
selection0098,modifier0067,Uses Modifier,
selection0098,modifier0068,Uses Modifier,
selection0098,modifier0069,Uses Modifier,
selection0098,modifier0070,Uses Modifier,
selection0099,modifier0071,Uses Modifier,
selection0100,modifier0072,Uses Modifier,
selection0100,modifier0073,Uses Modifier,
selection0100,modifier0074,Uses Modifier,
selection0100,modifier0075,Uses Modifier,
selection0101,modifier0076,Uses Modifier,
selection0101,modifier0077,Uses Modifier,
selection0101,modifier0078,Uses Modifier,
selection0101,modifier0079,Uses Modifier,
selection0101,modifier0080,Uses Modifier,
selection0102,modifier0081,Uses Modifier,
selection0102,modifier0082,Uses Modifier,
selection0102,modifier0083,Uses Modifier,
selection0102,modifier0084,Uses Modifier,
selection0103,modifier0085,Uses Modifier,
selection0104,modifier0086,Uses Modifier,
selection0104,modifier0087,Uses Modifier,
selection0104,modifier0088,Uses Modifier,
selection0105,modifier0089,Uses Modifier,
selection0105,modifier0090,Uses Modifier,
selection0105,modifier0091,Uses Modifier,
selection0105,modifier0092,Uses Modifier,
selection0106,modifier0093,Uses Modifier,
selection0106,modifier0094,Uses Modifier,
selection0106,modifier0095,Uses Modifier,
selection0106,modifier0096,Uses Modifier,
selection0107,modifier0097,Uses Modifier,
selection0107,modifier0098,Uses Modifier,
selection0107,modifier0099,Uses Modifier,
selection0107,modifier0100,Uses Modifier,
